date,region,product,channel,revenue,units,customer_segment,deal_stage,sales_rep
2023-01-01,North America,Enterprise Suite,Direct,98234.50,9,Enterprise,Won,Sarah Chen
2023-01-01,Europe,Growth Plan,Partner,34521.00,28,SMB,Won,James Wilson
2023-01-01,Asia Pacific,Starter Kit,Online,4120.75,78,Consumer,Won,Maria Garcia
2023-01-01,North America,Pro Tools,Direct,62480.00,15,Enterprise,Won,Alex Kim
2023-01-01,Latin America,Starter Kit,Online,2890.50,52,Consumer,Won,David Brown
2023-01-01,Europe,Enterprise Suite,Partner,71230.00,6,Enterprise,Won,Lisa Park
2023-01-01,Middle East,Growth Plan,Online,18450.25,16,SMB,Lost,Michael Torres
2023-01-01,North America,Starter Kit,Online,6540.00,95,Consumer,Won,Rachel Adams
2023-01-01,Asia Pacific,Pro Tools,Partner,35670.80,11,SMB,Won,Sarah Chen
2023-01-01,North America,Growth Plan,Direct,42100.00,24,Enterprise,Won,James Wilson
2023-01-01,Europe,Starter Kit,Online,5230.40,82,Consumer,Won,Maria Garcia
2023-01-01,Latin America,Pro Tools,Partner,22340.00,8,SMB,Pending,Alex Kim
2023-01-01,Middle East,Enterprise Suite,Direct,54200.00,4,Enterprise,Won,David Brown
2023-01-01,North America,Growth Plan,Partner,38760.50,21,SMB,Won,Lisa Park
2023-01-01,Asia Pacific,Enterprise Suite,Direct,67890.00,5,Enterprise,Won,Michael Torres
2023-01-01,Europe,Pro Tools,Direct,51230.75,14,Enterprise,Won,Rachel Adams
2023-01-01,North America,Starter Kit,Online,7120.00,102,Consumer,Lost,Sarah Chen
2023-01-01,Latin America,Growth Plan,Online,15680.25,14,SMB,Won,James Wilson
2023-01-01,Middle East,Starter Kit,Online,3210.00,58,Consumer,Won,Maria Garcia
2023-01-01,Asia Pacific,Growth Plan,Partner,26540.00,19,SMB,Won,Alex Kim
2023-01-01,North America,Enterprise Suite,Direct,112450.00,11,Enterprise,Won,David Brown
2023-02-01,North America,Enterprise Suite,Direct,105670.25,10,Enterprise,Won,Lisa Park
2023-02-01,Europe,Growth Plan,Partner,37890.00,30,SMB,Won,Michael Torres
2023-02-01,Asia Pacific,Starter Kit,Online,4560.50,84,Consumer,Won,Rachel Adams
2023-02-01,North America,Pro Tools,Direct,68920.00,16,Enterprise,Won,Sarah Chen
2023-02-01,Latin America,Enterprise Suite,Direct,48750.00,3,Enterprise,Won,James Wilson
2023-02-01,Europe,Starter Kit,Online,5670.80,88,Consumer,Won,Maria Garcia
2023-02-01,Middle East,Pro Tools,Partner,28450.00,10,SMB,Won,Alex Kim
2023-02-01,North America,Growth Plan,Online,44230.50,26,SMB,Won,David Brown
2023-02-01,Asia Pacific,Enterprise Suite,Partner,72340.00,6,Enterprise,Lost,Lisa Park
2023-02-01,North America,Starter Kit,Online,7890.25,108,Consumer,Won,Michael Torres
2023-02-01,Europe,Pro Tools,Direct,55670.00,15,SMB,Won,Rachel Adams
2023-02-01,Latin America,Growth Plan,Online,16340.75,13,SMB,Won,Sarah Chen
2023-02-01,Middle East,Enterprise Suite,Direct,58900.00,5,Enterprise,Won,James Wilson
2023-02-01,North America,Pro Tools,Partner,71240.00,18,Enterprise,Won,Maria Garcia
